scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score
D10,802,Serie A,1,1x2,home,12.11,1.91,0.587,2,false,-2,1,1
D10,1400,Primera B Nacional,1,1x2,away,53.04,4.4,0.3478,2,false,-2,2,1
D10,1398,Primera B Nacional,1,1x2,home,23.95,2.9,0.4274,2,true,3.8,1,0
D10,836,Primera B Nacional,1,1x2,away,54.39,4.4,0.3509,2,false,-2,2,1
D10,1484,Premier League,1,1x2,draw,12.76,3.25,0.3469,2,true,4.5,1,1
D10,1414,Liga Pro,0,1x2,draw,26.63,3.65,0.3469,0.5,true,1.325,2,2
D10,1402,Primera Division,1,,,,,,,skip,,2,2
D10,1399,Primera B Nacional,1,btts,nao,13.4,1.48,0.7662,2,false,-2,1,1
D10,1377,Division 1,0,1x2,draw,19.69,3.45,0.3469,0.5,false,-0.5,1,2
D10,1374,Serie B,0,1x2,away,20,3.45,0.3478,0.5,false,-0.5,2,1
D10,1328,La Liga,1,btts,nao,34.29,2.28,0.589,2,false,-2,4,2
D10,1327,La Liga,1,1x2,home,92.92,2.28,0.8462,2,true,2.56,2,1
D10,1326,La Liga,1,over25,under,30.34,2.7,0.4828,2,false,-2,3,1
D10,1325,La Liga,1,1x2,home,22.67,2.4,0.5111,2,false,-2,1,2
D10,1324,La Liga,1,over25,over,46.25,1.95,0.75,2,false,-2,1,0
D10,1323,La Liga,1,btts,nao,26.85,1.64,0.7735,2,true,1.28,1,0
D10,1322,La Liga,1,1x2,draw,21.43,3.5,0.3469,2,true,5,1,1
D10,1321,La Liga,1,,,,,,,skip,,1,1
D10,1320,La Liga,1,over25,over,35.75,1.81,0.75,2,true,1.62,3,0
D10,765,La Liga,1,btts,nao,17.22,2,0.5861,2,false,-2,1,2
D10,764,La Liga,1,1x2,draw,14.71,3.5,0.3277,2,true,5,1,1
D10,763,La Liga,1,btts,nao,32.08,2.28,0.5793,2,false,-2,4,2
D10,762,La Liga,1,1x2,home,29.42,2.7,0.4793,2,true,3.4,1,0
D10,761,La Liga,1,over25,under,20.48,2.7,0.4462,2,false,-2,3,1
D10,760,La Liga,1,1x2,draw,11.86,3.9,0.2868,2,true,5.8,1,1
D10,759,La Liga,1,over25,over,30.72,1.81,0.7222,2,true,1.62,3,0
D10,758,La Liga,1,1x2,home,72.54,2.28,0.7568,2,true,2.56,2,1
D10,757,La Liga,1,over25,over,40.83,1.95,0.7222,2,false,-2,1,0
D10,1166,Division 1,0,1x2,home,25,4.25,0.2941,0.5,false,-0.5,1,2
D10,917,Premier League,1,1x2,away,16.77,2.95,0.3958,2,false,-2,1,1
D10,854,Liga Pro,0,1x2,draw,19.62,3.65,0.3277,0.5,true,1.325,2,2
D10,840,Primera Division,1,,,,,,,skip,,2,2
D10,837,Primera B Nacional,1,btts,nao,14.17,1.48,0.7714,2,false,-2,1,1
D10,811,Serie B,0,1x2,away,20.48,3.45,0.3492,0.5,false,-0.5,2,1
D10,1333,Major League Soccer,1,1x2,home,40.46,1.66,0.8462,2,true,1.32,3,0
D10,1332,Pro League,1,over25,under,37.87,1.88,0.7333,2,true,1.76,0,2
D10,1331,Pro League,1,over25,under,17.31,2.43,0.4828,2,true,2.86,2,0
D10,1330,Pro League,1,1x2,home,66.69,3.9,0.4274,2,false,-2,0,2
D10,1319,Serie A,1,1x2,home,25.23,1.48,0.8462,2,true,0.96,2,1
D10,770,Pro League,1,over25,under,30.15,1.88,0.6923,2,true,1.76,0,2
D10,768,Pro League,1,1x2,away,15.24,3.3,0.3492,2,false,-2,2,0
D10,767,Pro League,1,1x2,home,67.14,3.9,0.4286,2,false,-2,0,2
D10,1165,Major League Soccer,1,over25,over,20.75,1.61,0.75,2,true,1.22,3,0
D10,1146,Serie A,1,1x2,home,12,1.48,0.7568,2,true,0.96,2,1
D10,1397,Primera B Nacional,1,1x2,away,21.74,3.5,0.3478,2,false,-2,1,0
D10,769,Major League Soccer,1,over25,over,20.75,1.61,0.75,2,true,1.22,3,0
D10,835,Primera B Nacional,1,1x2,away,22.22,3.5,0.3492,2,false,-2,1,0
D10,1491,Segunda Division,0,over25,under,32,1.8,0.7333,0.5,true,0.4,0,1
D10,1391,1. SNL,0,,,,,,,skip,,2,1
D10,924,Segunda Division,0,over25,under,24.62,1.8,0.6923,0.5,true,0.4,0,1
D10,827,1. SNL,0,,,,,,,skip,,2,1
D10,1454,Botola Pro,0,1x2,away,22.45,7.5,0.1633,0.5,false,-0.5,3,2
D10,1396,Primera B Nacional,1,btts,nao,13.31,1.5,0.7554,2,true,1,2,0
